agency_name,agency_url,service_name,service_url,description,software_name,software_sill_id,publication_date,last_update_date,signup_scope,usage_scope,signup_validation_method,content_moderation_method,user_network_access,anon_network_access,ports
DINUM,https://www.numerique.gouv.fr/,Webconf (Jitsi),https://webconf.numerique.gouv.fr,Visioconférence,jitsi,67,2019,2020,Agents publics,Tout le monde,Vérification de l'adresse email,Aucune,web,web,80
DINUM,https://www.numerique.gouv.fr/,Webconf (BBB),https://visio.betagouv.live/b,Visioconférence,BigBlueButton,196,2020-04,2020-04,Agents de la  DINUM,Agents de la DINUM,Manuelle,"Manuelle, par salon",web,web,80
DINUM/Etalab,https://www.etalab.gouv.fr/,Listes de discussion,https://listes.etalab.gouv.fr,Listes de discussions,mailman,,2019,2020,Tout agent public,Tout agent public,Manuelle,Manuelle,web,web,80
DINUM/Etalab,https://www.etalab.gouv.fr/,Forum Etalab,https://forum.etalab.gouv.fr,Forum en ligne,discourse,33,2016,2020,Tout le monde,Tout le monde,Vérification manuelle,Manuelle,web,web,80
DINUM/Etalab,https://www.etalab.gouv.fr/,Mastodon,https://mastodon.etalab.gouv.fr,Instance de microblogging,mastodon,85,2017,2020,Agents publics,Tout le monde,Vérification automatique de l'adresse email,Manuelle,web,web,80
MENJ/RENATER,https://www.renater.fr/,Evento,https://evento.renater.fr/,Gestion de rendez-vous et sondages https://www.renater.fr/fr/Evento,moment,,,,"MEN, MENSRI",Tout le monde,SSO Fédération SUP-Recherche-MENJ,Aucune,,,
MENJ/RENATER,https://www.renater.fr/,Rendez-vous,https://rendez-vous.renater.fr/home/,Visioconférence https://www.renater.fr/fr/RENDEZ-VOUS,jitsi,67,2019,2020,"MEN, MENSRI",Tout le monde,SSO Fédération SUP-Recherche-MENJ,Aucune,,,
MENJ/RENATER,https://www.renater.fr/,Filesender,https://filesender.renater.fr/,Transfert de fichiers https://www.renater.fr/fr/filesender,Filesender,,,,"MEN, MENSRI",Tout le monde,SSO Fédération SUP-Recherche-MENJ,Aucune,,,
MENJ/RENATER,https://www.renater.fr/,Renavisio,https://renavisio.renater.fr/,Pont audio-vidéo,Renavisio,,,,"MEN, MENSRI",Tout le monde,SSO Fédération SUP-Recherche-MENJ,Aucune,,,
MIM,https://www.mim-libre.fr/,Gitlab (MIM),https://gitlab.mim-libre.fr/,Dépôt de code avancé,Gitlab,53,,,Agents publics,Tout le monde,Vérification de l'adresse email,Aucune pour les institutions,,,
MIM,https://www.mim-libre.fr/,Forum (MIM),https://forum.mim-libre.fr/,Forum en ligne,Discourse,33,,,Agents publics,Tout le monde,Vérification de l'adresse email,Aucune pour les institutions,,,
MIM,https://www.mim-libre.fr/,Chat (MIM),https://chat.mim-libre.fr/,Tchat,Rocketchat,124,,,Agents publics,Tout le monde,Vérification de l'adresse email,Aucune pour les institutions,,,
MIM,https://www.mim-libre.fr/,Filepizza (MIM),https://filepizza.mim-libre.fr/,Transfert de fichiers en P2P,Filepizza,,,,Tout le monde,Tout le monde,aucune,Aucune,,,
MIM,https://www.mim-libre.fr/,Board (MIM),https://board.mim-libre.fr/commun,Post-it,scrumblr,,,,Agents publics,Tout le monde,Vérification de l'adresse email,Aucune pour les institutions,,,
MIM,https://www.mim-libre.fr/,Draw (MIM),https://draw.mim-libre.fr/?lang=fr,Schéma technique et mookup,Draw.io,35,,,Agents publics,Agents publics,Vérification de l'adresse email,Aucune pour les institutions,,,
MIM,https://www.mim-libre.fr/,Pad  (MIM),https://pad.mim-libre.fr/,Traitement de texte collaboratif,Etherpad,,,,Tout le monde,Tout le monde,aucune,Aucune,,,
MIM,https://www.mim-libre.fr/,Cloud (MIM),https://cloud.mim-libre.fr/,"Cloud de fichiers avec édition collaborative (textes, présentation et tableurs)",Nextcloud,93,,,Agents publics,Tout le monde,Vérification de l'adresse email,Aucune pour les institutions,,,
MENJ/Rennes,http://www.ac-rennes.fr/,Pad (AC Rennes),https://www.toutatice.fr/pad/,Traitement de texte collaboratif,Etherpad,,,,Tout le monde,Tout le monde,Tout le monde,Tout le monde,,,
MENJ/Paris,http://www.ac-paris.fr,Pad (AC Rennes),https://etherpad.ac-paris.fr/,Traitement de texte collaboratif,Etherpad,,,,Tout le monde,Tout le monde,Tout le monde,Tout le monde,,,
MENJ/RENATER,https://www.renater.fr/,Messagerie,https://webmail.partage.renater.fr/,Messagerie collaborative,Zimbra,202,,,"MEN, MENSRI",Tout le monde,Convention avec renater,Aucune une fois conventionné,,,
MENJ/RENATER,https://www.renater.fr/,Drive,https://drive.demo.renater.fr/index.php/apps/user_saml/saml/selectUserBackEnd?redirectUrl=,"Cloud de fichiers avec édition collaborative (textes, présentation et tableurs)  https://www.renater.fr/fr/Drive",Nextcloud,93,,,,,,,,,
MENJ/RENATER,https://www.renater.fr/,SourceSUp,https://sourcesup.renater.fr,Forge logicielle https://services.renater.fr/sourcesup/index,FusionForge,,,,"MEN, MENSRI",Tout le monde,SSO Fédération SUP-Recherche-MENJ,,,,
MENJ/RENATER,https://www.renater.fr/,Universalistes,https://groupes.renater.fr/sympa,Listes de diffusion https://services.renater.fr/groupware/universalistes/index,Sympa,142,,,"MEN, MENSRI",Tout le monde,SSO Fédération SUP-Recherche-MENJ,Validation manuelle de renater pour la création de listes,,,
MENJ/RENATER,https://www.renater.fr/,Eduroam,https://services.renater.fr/eduroam/index,Roaming Wifi pour les personnels MENJ/SUP/Recherche,Radius,,,,"MEN, MENSRI",Agents des agences qui ont souscrit,Convention avec renater,Aucune une fois conventionné,,,
MENJ/RENATER,https://www.renater.fr/,EduSpot,https://services.renater.fr/documentation/eduspot/index,,Radius,,,,"MEN, MENSRI",Agents des agences qui ont souscrit,Convention avec renater,Aucune une fois conventionné,,,
MENJ/RENATER,https://www.renater.fr/,EduVPN,https://services.renater.fr/eduvpn/index,Service de VPN pour les personnels https://services.renater.fr/eduvpn/index,openvpn,,,,"MEN, MENSRI",Agents des agences qui ont souscrit,Convention avec renater,Aucune une fois conventionné,,,
